wp_posts,4692,post_type,Type,course
wp_posts,4692,post_title,Title,"Computing Research Project"
wp_posts,4692,post_date,Date,"2020-01-14 15:40:40"
wp_posts,4692,post_content,Content,"This course is assessed by a Pearson-set assignment. Students will choose their own project based on a theme provided by Pearson (this will change annually). The project must be related to their specialist pathway of study (unless the student is studying the general computing pathway). This will enable students to explore and examine a relevant and current topical aspect of computing in the context of a business environment and their chosen specialist pathway.

The aim of this course is to offer students the opportunity to engage in sustained research in a specific field of study. The course enables students to demonstrate the capacity and ability to identify a research theme, to develop research aims, objectives and outcomes, and to present the outcomes of such research in both written and verbal formats. The course also encourages students to reflect on their engagement in the research process during which recommendations for future, personal development are key learning points.

On successful completion of this course students will have the confidence to engage in problem-solving and research activities which are part of the function of a manager. Students will have the fundamental knowledge and skills to enable them to investigate workplace issues and problems, determine appropriate solutions and present evidence to various stakeholders in an acceptable and understandable format.

As a result they will develop skills such as communication literacy, critical thinking, analysis, synthesis, reasoning and interpretation which are crucial for gaining employment and developing academic competence.
<h3 class=""heading""><span>Learning Objectives</span></h3>
By the end of this course a student will be able to:

1. Examine appropriate research methodologies and approaches as part of the research process.

2. Conduct and analyse research relevant to a computing research project.

3.  Communicate the outcomes of a research project to identified stakeholders.

4. Reflect on the application of research methodologies and concepts."
wp_posts,4692,post_author,"Author ID",1
wp_posts,4692,post_excerpt,Excerpt,
wp_posts,4692,post_status,Status,publish
wp_posts,4692,post_name,Slug,computing-research-project
wp_posts,4692,comment_count,"Review/Note/Answer Count",0
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_media_featured," wpml media featured",0
wp_postmeta,4692,_wpml_media_duplicate," wpml media duplicate",0
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
wp_postmeta,4692,_wpml_word_count," wpml word count","{""total"":311,""to_translate"":{""ar"":311,""sv"":311}}"
